total_credit_utilized,installment,grade,state,issue_date,application_time,accounts,y,vector_feature,non_decimal_feature,sentence_feature
38767,652.53,C,NJ,16-Apr-18,28:43.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":14,""open_cc"":8,""mort"":1}",0,"[6.72, 9.65, 9.3, 0.59, 9.25]",0b100010000,시스템 업데이트 필요
4321,167.54,C,HI,13-Feb-18,43:08.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":11,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":24,""open_cc"":14,""mort"":0}",0,"[3.23, 6.79, 0.12, 4.92, 2.91]",0b1100100101,분석 보고서 생성됨
16000,71.4,D,WI,23-Mar-18,44:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":13,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":14,""open_cc"":8,""mort"":0}",0,"[8.33, 7.41, 4.49, 7.47, 5.9]",0x1d9,정기 점검 완료
4997,664.19,A,PA,09-Jan-18,32:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":3,""open_cc"":3,""mort"":0}",0,"[2.36, 2.62, 1.04, 2.3, 1.83]",0x1b9,데이터 처리 성공
52722,786.87,C,CA,08-Apr-18,33:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":16,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":10,""total_cc"":20,""open_cc"":15,""mort"":0}",0,"[0.96, 9.36, 5.18, 0.42, 6.61]",0x2ae,네트워크 연결 불안정
3898,153.75,A,KY,10-Feb-18,20:27.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":27,""open_cc"":12,""mort"":3}",0,"[3.9, 0.55, 0.21, 2.03, 3.22]",0xaf,데이터 처리 성공
18916,553.35,C,MI,17-Jan-18,05:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":7,""mort"":2}",0,"[3.89, 3.02, 7.47, 7.14, 3.09]",0b1010100011,데이터 처리 성공
60805,444.79,B,AZ,03-Jan-18,55:47.4,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":5,""total_cc"":16,""open_cc"":12,""mort"":7}",0,"[5.63, 2.28, 9.35, 7.61, 8.15]",0b110101000,분석 보고서 생성됨
69561,679.58,C,NV,15-Feb-18,49:43.3,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":10,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":11,""total_cc"":19,""open_cc"":14,""mort"":2}",0,"[1.26, 7.34, 7.3, 3.1, 5.85]",0b1001000100,모터 온도 상승 경고
17768,196.77,A,IL,09-Mar-18,21:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":5,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":7,""open_cc"":5,""mort"":0}",0,"[5.57, 6.71, 0.2, 4.3, 4.27]",0b110011110,분석 보고서 생성됨
22895,595.28,,IL,20-Apr-18,01:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":6,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":16,""open_cc"":8,""mort"":2}",0,"[9.4, 1.48, 8.2, 5.84, 3.95]",0b1001001,정기 점검 완료
