total_credit_utilized,installment,grade,state,issue_date,application_time,accounts,y,vector_feature,non_decimal_feature,sentence_feature
38767,652.53,C,NJ,16-Apr-18,28:43.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":14,""open_cc"":8,""mort"":1}",0,"[3.03, 5.92, 0.95, 7.29, 3.68]",0b11011001,배터리 잔량 부족
4321,167.54,C,HI,13-Feb-18,43:08.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":11,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":24,""open_cc"":14,""mort"":0}",0,"[4.1, 1.11, 4.34, 3.13, 6.4]",0b1000110001,센서 값 정상 범위
16000,71.4,D,WI,23-Mar-18,44:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":13,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":14,""open_cc"":8,""mort"":0}",0,"[8.17, 4.8, 4.53, 9.54, 6.86]",0x2f,정기 점검 완료
4997,664.19,A,PA,09-Jan-18,32:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":3,""open_cc"":3,""mort"":0}",0,"[1.83, 4.44, 5.1, 7.02, 6.71]",0x124,모터 온도 상승 경고
52722,786.87,C,CA,08-Apr-18,33:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":16,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":10,""total_cc"":20,""open_cc"":15,""mort"":0}",0,"[2.54, 6.9, 5.92, 1.53, 7.17]",0xe0,정기 점검 완료
3898,153.75,A,KY,10-Feb-18,20:27.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":27,""open_cc"":12,""mort"":3}",0,"[0.66, 7.81, 0.9, 8.58, 8.42]",0x36a,시스템 업데이트 필요
18916,553.35,C,MI,17-Jan-18,05:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":7,""mort"":2}",0,"[2.53, 8.44, 5.56, 1.3, 4.99]",0b1010011101,시스템 업데이트 필요
60805,444.79,B,AZ,03-Jan-18,55:47.4,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":5,""total_cc"":16,""open_cc"":12,""mort"":7}",0,"[0.95, 0.25, 8.41, 5.74, 4.71]",0b110010010,정기 점검 완료
69561,679.58,C,NV,15-Feb-18,49:43.3,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":10,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":11,""total_cc"":19,""open_cc"":14,""mort"":2}",0,"[5.08, 0.43, 2.26, 6.11, 0.68]",0x21b,시스템 업데이트 필요
17768,196.77,A,IL,09-Mar-18,21:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":5,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":7,""open_cc"":5,""mort"":0}",0,"[3.13, 1.18, 7.05, 2.73, 2.66]",0x187,초기화 작업 진행 중
22895,595.28,,IL,20-Apr-18,01:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":6,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":16,""open_cc"":8,""mort"":2}",0,"[5.0, 7.77, 0.05, 9.15, 6.37]",0b111110001,네트워크 연결 불안정
55939,848.31,B,FL,15-Mar-18,03:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":7,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":15,""open_cc"":8,""mort"":3}",0,"[4.34, 5.27, 5.57, 1.78, 6.57]",0b1111100,초기화 작업 진행 중
43686,543.67,C,SC,23-Feb-18,44:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":11,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":20,""open_cc"":9,""mort"":3}",0,"[0.62, 5.35, 9.73, 9.81, 3.62]",0b11110001,모터 온도 상승 경고
14387,356.46,B,CO,15-Mar-18,51:58.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":7,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":53,""open_cc"":20,""mort"":3}",0,"[8.98, 9.28, 9.0, 3.12, 1.91]",0x61,네트워크 연결 불안정
26483,110.02,D,FL,14-Feb-18,48:01.9,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":17,""open_cc"":7,""mort"":1}",0,"[4.25, 4.67, 2.38, 0.34, 5.29]",0b10110101,정기 점검 완료
75552,519.15,D,TN,23-Mar-18,10:27.5,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":1,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":10,""open_cc"":8,""mort"":2}",0,"[1.66, 3.6, 1.4, 3.85, 5.95]",0x2f6,초기화 작업 진행 중
93016,311.49,D,NV,25-Jan-18,16:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":8,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":5,""mort"":2}",0,"[4.05, 0.48, 3.28, 1.25, 5.04]",0x40,배터리 잔량 부족
