total_credit_utilized,installment,grade,state,issue_date,application_time,accounts,y
38767,652.53,C,NJ,16-Apr-18,13:28:43.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":14,""open_cc"":8,""mort"":1}",0
4321,167.54,C,HI,13-Feb-18,10:43:08.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":11,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":24,""open_cc"":14,""mort"":0}",0
16000,71.4,D,WI,23-Mar-18,15:44:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":13,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":14,""open_cc"":8,""mort"":0}",0
4997,664.19,A,PA,09-Jan-18,11:32:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":3,""open_cc"":3,""mort"":0}",0
52722,786.87,C,CA,08-Apr-18,10:33:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":16,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":10,""total_cc"":20,""open_cc"":15,""mort"":0}",0
3898,153.75,A,KY,10-Feb-18,11:20:27.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":27,""open_cc"":12,""mort"":3}",0
18916,553.35,C,MI,17-Jan-18,16:05:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":7,""mort"":2}",0
60805,444.79,B,AZ,03-Jan-18,16:55:47.4,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":5,""total_cc"":16,""open_cc"":12,""mort"":7}",0
69561,679.58,C,NV,15-Feb-18,14:49:43.3,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":10,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":11,""total_cc"":19,""open_cc"":14,""mort"":2}",0
17768,196.77,A,IL,09-Mar-18,15:21:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":5,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":7,""open_cc"":5,""mort"":0}",0
