total_credit_utilized,installment,state,accounts_current_delinq,accounts_current_installment,accounts_opened_24m,accounts_satisfactory,accounts_120d_past_due,accounts_30d_past_due,accounts_active_debit,accounts_total_cc,accounts_open_cc,accounts_mort,grade_C,grade_D,grade_A,grade_B,grade_Missing,grade_F,grade_E,grade_G,issue_date_year,issue_date_month,issue_date_day,application_time_time_seconds,y,split
38767,652.53,34,0,2,5,10,0.0,0,2,14,8,1,1,0,0,0,0,0,0,0,2018,4,16,48523.3,0,full
4321,167.54,49,0,0,11,14,0.0,0,3,24,14,0,1,0,0,0,0,0,0,0,2018,2,13,38588.5,0,full
16000,71.4,26,0,1,13,10,0.0,0,3,14,8,0,0,1,0,0,0,0,0,0,2018,3,23,56648.2,0,full
4997,664.19,24,0,1,1,4,0.0,0,2,3,3,0,0,0,1,0,0,0,0,0,2018,1,9,41562.6,0,full
52722,786.87,36,0,1,6,16,0.0,0,10,20,15,0,1,0,0,0,0,0,0,0,2018,4,8,37993.3,0,full
3898,153.75,12,0,0,2,12,0.0,0,1,27,12,3,0,0,1,0,0,0,0,0,2018,2,10,40827.5,0,full
18916,553.35,40,0,2,1,10,0.0,0,3,8,7,2,1,0,0,0,0,0,0,0,2018,1,17,57952.8,0,full
60805,444.79,27,0,2,4,15,0.0,0,5,16,12,7,0,0,0,1,0,0,0,0,2018,1,3,60947.4,0,full
69561,679.58,44,0,6,10,21,0.0,0,11,19,14,2,1,0,0,0,0,0,0,0,2018,2,15,53383.3,0,full
17768,196.77,22,0,1,5,6,0.0,0,3,7,5,0,0,0,1,0,0,0,0,0,2018,3,9,55318.2,0,full
22895,595.28,22,0,2,6,10,0.0,0,2,16,8,2,0,0,0,0,1,0,0,0,2018,4,20,61318.2,0,full
55939,848.31,43,0,1,7,10,0.0,0,2,15,8,3,0,0,0,1,0,0,0,0,2018,3,15,54193.3,0,full
43686,543.67,14,0,2,11,12,0.0,0,3,20,9,3,1,0,0,0,0,0,0,0,2018,2,23,63848.2,0,full
14387,356.46,21,0,0,7,21,0.0,0,4,53,20,3,0,0,0,1,0,0,0,0,2018,3,15,57118.2,0,full
26483,110.02,43,0,3,4,10,0.0,0,2,17,7,1,0,1,0,0,0,0,0,0,2018,2,14,49681.9,0,full
75552,519.15,35,0,3,1,11,0.0,0,3,10,8,2,0,1,0,0,0,0,0,0,2018,3,23,51027.5,0,full
93016,311.49,44,0,3,8,9,0.0,0,2,7,5,2,0,1,0,0,0,0,0,0,2018,1,25,40598.2,0,full
54947,947.15,44,0,2,3,6,0.0,0,1,5,4,0,0,0,0,0,0,1,0,0,2018,1,11,57347.4,0,full
73705,203.51,22,0,4,6,7,0.0,0,2,6,2,5,0,0,0,0,0,0,1,0,2018,3,25,36352.8,0,full
39482,476.33,36,0,1,1,6,0.0,0,3,7,4,2,1,0,0,0,0,0,0,0,2018,2,8,52448.2,0,full
18128,213.21,12,0,2,4,9,0.0,0,2,7,6,1,0,0,0,0,1,0,0,0,2018,2,12,58642.1,0,full
47575,332.05,44,0,3,5,9,0.0,0,3,7,5,1,0,0,0,1,0,0,0,0,2018,3,1,41881.9,0,full
151251,485.34,34,0,7,10,17,0.0,0,3,22,8,6,1,0,0,0,0,0,0,0,2018,2,11,60398.2,0,full
6103,107.61,37,0,1,0,4,0.0,0,1,7,2,1,0,0,1,0,0,0,0,0,2018,3,1,52318.2,0,full
69177,250.55,20,0,2,3,7,0.0,0,2,14,5,2,0,0,1,0,0,0,0,0,2018,3,29,63718.2,0,full
17296,405.98,24,0,1,3,14,0.0,0,7,16,12,1,1,0,0,0,0,0,0,0,2018,3,7,52081.9,0,full
26637,332.05,46,0,1,11,11,0.0,0,3,16,10,0,0,0,0,1,0,0,0,0,2018,3,15,40918.2,0,full
22920,99.31,22,0,5,2,8,0.0,0,3,3,3,0,0,0,1,0,0,0,0,0,2018,2,5,49681.9,0,full
14338,301.15,23,0,2,5,9,0.0,0,2,9,7,1,0,0,1,0,0,0,0,0,2018,1,31,53383.3,0,full
2489,182.73,11,0,2,3,9,0.0,0,1,18,6,2,0,0,1,0,0,0,0,0,2018,4,8,51398.2,0,full
105548,402.14,36,0,2,4,15,0.0,0,8,26,12,4,0,0,0,0,1,0,0,0,2018,2,9,39011.2,0,full
497876,838.91,37,0,13,4,20,0.0,0,2,8,6,1,0,0,0,1,0,0,0,0,2018,2,23,52827.5,0,full
51523,493.19,47,0,2,3,20,0.0,0,8,26,17,2,0,1,0,0,0,0,0,0,2018,3,21,58362.6,0,full
113927,747.92,14,0,2,4,14,0.0,0,3,14,11,4,0,1,0,0,0,0,0,0,2018,4,12,58362.6,0,full
69647,318.19,36,0,2,5,12,0.0,0,1,13,9,2,0,0,0,1,0,0,0,0,2018,1,13,42611.2,0,full
92,73.1,28,0,0,0,3,0.0,0,0,11,3,0,0,0,1,0,0,0,0,0,2018,1,29,54848.2,0,full
13304,379.07,28,0,0,0,7,0.0,0,4,8,7,0,0,1,0,0,0,0,0,0,2018,1,27,50562.6,0,full
29954,571.47,34,0,3,4,14,0.0,0,3,15,10,2,1,0,0,0,0,0,0,0,2018,3,5,60442.1,0,full
34186,308.42,24,0,2,3,6,0.0,0,1,9,4,0,0,0,0,1,0,0,0,0,2018,2,6,55962.6,0,full
10466,1005.2,36,0,1,1,4,0.0,0,1,3,3,1,1,0,0,0,0,0,0,0,2018,3,15,36481.9,0,full
12435,254.27,40,0,0,2,6,0.0,0,2,8,5,1,0,1,0,0,0,0,0,0,2018,1,1,47752.8,0,full
51012,333.6,28,0,2,4,10,0.0,0,2,11,8,3,0,0,0,1,0,0,0,0,2018,3,25,54118.2,0,full
44015,833.57,20,0,2,5,14,0.0,0,3,19,11,3,1,0,0,0,0,0,0,0,2018,1,21,51952.8,0,full
31094,346.9,37,0,3,4,6,0.0,0,2,7,3,0,1,0,0,0,0,0,0,0,2018,2,3,57193.3,0,full
49857,902.37,37,0,2,9,11,0.0,0,2,7,6,2,1,0,0,0,0,0,0,0,2018,3,17,54481.9,0,full
26515,461.24,42,0,2,7,12,0.0,0,2,21,9,3,0,0,1,0,0,0,0,0,2018,1,31,60027.5,0,full
18870,614.9,43,0,0,4,9,0.0,0,4,10,8,1,0,0,1,0,0,0,0,0,2018,3,11,54481.9,0,full
13527,156.11,37,0,2,1,7,0.0,0,5,7,5,2,1,0,0,0,0,0,0,0,2018,2,27,56518.2,0,full
5542,339.41,7,0,0,1,7,0.0,0,2,8,7,0,0,0,0,1,0,0,0,0,2018,1,15,40362.6,0,full
199983,324.65,42,0,18,5,25,0.0,0,3,8,6,2,0,0,0,1,0,0,0,0,2018,1,13,55681.9,0,full
69124,562.78,37,0,2,11,15,0.0,0,8,12,10,2,0,0,0,0,0,0,1,0,2018,2,23,60718.2,0,full
53109,676.52,37,0,2,10,15,0.0,0,2,21,13,0,0,0,0,0,0,0,0,1,2018,1,23,42793.3,0,full
34313,833.57,36,0,1,2,9,0.0,0,3,9,8,0,1,0,0,0,0,0,0,0,2018,3,23,36352.8,0,full
63799,304.54,23,0,4,1,8,0.0,0,1,8,3,3,0,0,1,0,0,0,0,0,2018,3,11,39848.2,0,full
52244,365.45,42,0,2,4,6,0.0,0,1,10,3,3,0,0,1,0,0,0,0,0,2018,3,17,52988.5,0,full
4277,69.09,43,0,0,0,3,0.0,0,1,3,2,1,0,1,0,0,0,0,0,0,2018,3,19,50798.2,0,full
