total_credit_utilized,installment,state,non_decimal_feature,sentence_feature,accounts_current_delinq,accounts_current_installment,accounts_opened_24m,accounts_satisfactory,accounts_120d_past_due,accounts_30d_past_due,accounts_active_debit,accounts_total_cc,accounts_open_cc,accounts_mort,grade_C,grade_D,grade_A,grade_B,grade_Missing,grade_F,grade_E,grade_G,issue_date_year,issue_date_month,issue_date_day,application_time_time_seconds,vector_feature_pca_0,vector_feature_pca_1,vector_feature_pca_2,y,split
38760,652,34,0b11011001,배터리 잔량 부족,0,2,5,10,0.0,0,2,14,8,1,1,0,0,0,0,0,0,0,2018,4,16,48523.3,-3.398647269429665,-2.963784112981772,0.958819230051934,0,full
4320,167,49,0b1000110001,센서 값 정상 범위,0,0,11,14,0.0,0,3,24,14,0,1,0,0,0,0,0,0,0,2018,2,13,38588.5,1.75583282516462,-2.47151063932648,-1.8037286339678582,0,full
16000,71,26,0x2f,정기 점검 완료,0,1,13,10,0.0,0,3,14,8,0,0,1,0,0,0,0,0,0,2018,3,23,56648.2,-0.8394695661942606,1.722205207693004,4.6372836887481155,0,full
4990,664,24,0x124,모터 온도 상승 경고,0,1,1,4,0.0,0,2,3,3,0,0,0,1,0,0,0,0,0,2018,1,9,41562.6,1.5652404707860388,-3.035817393969257,2.2026889627571107,0,full
52720,786,36,0xe0,정기 점검 완료,0,1,6,16,0.0,0,10,20,15,0,1,0,0,0,0,0,0,0,2018,4,8,37993.3,3.5923062148461273,-0.44917268578430125,-2.6305307809890994,0,full
3890,153,12,0x36a,시스템 업데이트 필요,0,0,2,12,0.0,0,1,27,12,3,0,0,1,0,0,0,0,0,2018,2,10,40827.5,0.21883641703927292,-4.347910752712282,3.1981785677327155,0,full
18910,553,40,0b1010011101,시스템 업데이트 필요,0,2,1,10,0.0,0,3,8,7,2,1,0,0,0,0,0,0,0,2018,1,17,57952.8,1.7051686335094942,0.15501268140776414,-3.337667312067192,0,full
60800,444,27,0b110010010,정기 점검 완료,0,2,4,15,0.0,0,5,16,12,7,0,0,0,1,0,0,0,0,2018,1,3,60947.4,2.670036772145072,-4.099738668818481,1.142284333763624,0,full
69560,679,44,0x21b,시스템 업데이트 필요,0,6,10,21,0.0,0,11,19,14,2,1,0,0,0,0,0,0,0,2018,2,15,53383.3,-4.729490416652126,-2.9750288662185618,-0.6574557442366258,0,full
17760,196,22,0x187,초기화 작업 진행 중,0,1,5,6,0.0,0,3,7,5,0,0,0,1,0,0,0,0,0,2018,3,9,55318.2,0.687658621955106,-2.0495733726016745,-2.3826244922618027,0,full
22890,595,22,0b111110001,네트워크 연결 불안정,0,2,6,10,0.0,0,2,16,8,2,0,0,0,0,1,0,0,0,2018,4,20,61318.2,-2.954007561958936,-1.2005260870898553,3.197511052077039,0,full
55930,848,43,0b1111100,초기화 작업 진행 중,0,1,7,10,0.0,0,2,15,8,3,0,0,0,1,0,0,0,0,2018,3,15,54193.3,2.577627669584208,0.14970056864947967,-2.6214498301555187,0,full
43680,543,14,0b11110001,모터 온도 상승 경고,0,2,11,12,0.0,0,3,20,9,3,1,0,0,0,0,0,0,0,2018,2,23,63848.2,1.0881947450670904,-2.1024125321156255,5.2498060673543785,0,full
14380,356,21,0x61,네트워크 연결 불안정,0,0,7,21,0.0,0,4,53,20,3,0,0,0,1,0,0,0,0,2018,3,15,57118.2,-0.8824868324260216,6.903181919250735,-1.330633784560086,0,full
26480,110,43,0b10110101,정기 점검 완료,0,3,4,10,0.0,0,2,17,7,1,0,1,0,0,0,0,0,0,2018,2,14,49681.9,0.3895718056284192,-1.198541503258478,-5.002059456592581,0,full
75550,519,35,0x2f6,초기화 작업 진행 중,0,3,1,11,0.0,0,3,10,8,2,0,1,0,0,0,0,0,0,2018,3,23,51027.5,0.03475852081641362,-4.556952568127644,-1.8363816894192855,0,full
93010,311,44,0x40,배터리 잔량 부족,0,3,8,9,0.0,0,2,7,5,2,0,1,0,0,0,0,0,0,2018,1,25,40598.2,0.7570876871661145,-2.9341901164594093,-4.1401051153106,0,full
54940,947,44,0x20b,네트워크 연결 불안정,0,2,3,6,0.0,0,1,5,4,0,0,0,0,0,0,1,0,0,2018,1,11,57347.4,0.789698765876234,1.4417895102431801,-1.9227000426355731,0,full
73700,203,22,0b110100011,알 수 없는 오류 발생,0,4,6,7,0.0,0,2,6,2,5,0,0,0,0,0,0,1,0,2018,3,25,36352.8,5.4054702802721275,-4.044399955526427,2.0591131863025796,0,full
39480,476,36,0b10100,데이터 처리 성공,0,1,1,6,0.0,0,3,7,4,2,1,0,0,0,0,0,0,0,2018,2,8,52448.2,-4.37161896002724,-3.2768062564524616,-4.531814749615458,0,full
18120,213,12,0b11011110,센서 값 정상 범위,0,2,4,9,0.0,0,2,7,6,1,0,0,0,0,1,0,0,0,2018,2,12,58642.1,2.882075222544681,-2.0398160108642687,0.7867798981556886,0,full
47570,332,44,0b110111011,모터 온도 상승 경고,0,3,5,9,0.0,0,3,7,5,1,0,0,0,1,0,0,0,0,2018,3,1,41881.9,-4.278434190908518,-1.5201609894230659,-2.065581100793815,0,full
151250,485,34,0b111111101,초기화 작업 진행 중,0,7,10,17,0.0,0,3,22,8,6,1,0,0,0,0,0,0,0,2018,2,11,60398.2,0.9455406209474937,4.220528890304727,5.5129780947171545,0,full
6100,107,37,0b111010100,네트워크 연결 불안정,0,1,0,4,0.0,0,1,7,2,1,0,0,1,0,0,0,0,0,2018,3,1,52318.2,-1.4024378595250164,2.847725882101771,-4.296907640343586,0,full
69170,250,20,0x1fb,배터리 잔량 부족,0,2,3,7,0.0,0,2,14,5,2,0,0,1,0,0,0,0,0,2018,3,29,63718.2,-3.2390674558775947,-0.2202500031011292,1.0658913735128008,0,full
17290,405,24,0x65,분석 보고서 생성됨,0,1,3,14,0.0,0,7,16,12,1,1,0,0,0,0,0,0,0,2018,3,7,52081.9,0.5592127297198903,3.1548262546597945,0.24693757493658097,0,full
26630,332,46,0x3b5,사용자 로그인 기록,0,1,11,11,0.0,0,3,16,10,0,0,0,0,1,0,0,0,0,2018,3,15,40918.2,0.17468362730626597,-4.144831035023332,0.6965154641778861,0,full
22920,99,22,0b1010100101,정기 점검 완료,0,5,2,8,0.0,0,3,3,3,0,0,0,1,0,0,0,0,0,2018,2,5,49681.9,2.8215110047604224,3.235529257095682,-3.5432543430583956,0,full
14330,301,23,0b1100110100,사용자 로그인 기록,0,2,5,9,0.0,0,2,9,7,1,0,0,1,0,0,0,0,0,2018,1,31,53383.3,-0.05803579408230508,-2.332714205990251,1.3259555972165478,0,full
2480,182,11,0x48,초기화 작업 진행 중,0,2,3,9,0.0,0,1,18,6,2,0,0,1,0,0,0,0,0,2018,4,8,51398.2,0.7027446602843597,-0.6102803208853462,0.9983618603926283,0,full
105540,402,36,0x12b,시스템 업데이트 필요,0,2,4,15,0.0,0,8,26,12,4,0,0,0,0,1,0,0,0,2018,2,9,39011.2,0.19104928326825865,2.965679236821022,-4.740172249711225,0,full
497870,838,37,0x23c,시스템 업데이트 필요,0,13,4,20,0.0,0,2,8,6,1,0,0,0,1,0,0,0,0,2018,2,23,52827.5,1.8165208228929437,5.6740823323979415,-0.7373781141012694,0,full
51520,493,47,0xb4,배터리 잔량 부족,0,2,3,20,0.0,0,8,26,17,2,0,1,0,0,0,0,0,0,2018,3,21,58362.6,3.646377777987512,4.685667537129192,-0.4276884951575317,0,full
113920,747,14,0x37,모터 온도 상승 경고,0,2,4,14,0.0,0,3,14,11,4,0,1,0,0,0,0,0,0,2018,4,12,58362.6,-0.019214120722537587,2.9452258897377215,-1.0959626561480498,0,full
69640,318,36,0b1000100101,알 수 없는 오류 발생,0,2,5,12,0.0,0,1,13,9,2,0,0,0,1,0,0,0,0,2018,1,13,42611.2,-5.653811067781612,-4.710842556431102,2.056958151984719,0,full
90,73,28,0x2a1,정기 점검 완료,0,0,0,3,0.0,0,0,11,3,0,0,0,1,0,0,0,0,0,2018,1,29,54848.2,0.539455354902084,-0.31586583765817,-4.809345979277875,0,full
13300,379,28,0b111010001,사용자 로그인 기록,0,0,0,7,0.0,0,4,8,7,0,0,1,0,0,0,0,0,0,2018,1,27,50562.6,3.229489615275207,-3.6794722855482704,2.826850162553101,0,full
29950,571,34,0x33a,네트워크 연결 불안정,0,3,4,14,0.0,0,3,15,10,2,1,0,0,0,0,0,0,0,2018,3,5,60442.1,-1.3346513712983854,-4.277344056235216,-5.246830082819161,0,full
34180,308,24,0x226,모터 온도 상승 경고,0,2,3,6,0.0,0,1,9,4,0,0,0,0,1,0,0,0,0,2018,2,6,55962.6,4.190432178902606,4.0071704731720645,-2.0860370305674865,0,full
10460,1005,36,0b1110111011,사용자 로그인 기록,0,1,1,4,0.0,0,1,3,3,1,1,0,0,0,0,0,0,0,2018,3,15,36481.9,-2.319049216951693,4.953581150920315,-4.700797731745455,0,full
12430,254,40,0x361,센서 값 정상 범위,0,0,2,6,0.0,0,2,8,5,1,0,1,0,0,0,0,0,0,2018,1,1,47752.8,3.087886101383808,5.196236995817455,-1.4483933346297349,0,full
51010,333,28,0b111111011,시스템 업데이트 필요,0,2,4,10,0.0,0,2,11,8,3,0,0,0,1,0,0,0,0,2018,3,25,54118.2,1.1322289869309756,2.845793148399431,0.8964986547583154,0,full
44010,833,20,0b101110111,배터리 잔량 부족,0,2,5,14,0.0,0,3,19,11,3,1,0,0,0,0,0,0,0,2018,1,21,51952.8,-1.8337446640995683,-1.5564132194727076,-4.741510724642487,0,full
31090,346,37,0x2e4,분석 보고서 생성됨,0,3,4,6,0.0,0,2,7,3,0,1,0,0,0,0,0,0,0,2018,2,3,57193.3,-5.564955208331217,2.088048553662346,0.03752037640695516,0,full
49850,902,37,0x1d9,정기 점검 완료,0,2,9,11,0.0,0,2,7,6,2,1,0,0,0,0,0,0,0,2018,3,17,54481.9,-1.9149718126031396,-2.5557335274762387,-1.6974510785263535,0,full
26510,461,42,0b1000101110,정기 점검 완료,0,2,7,12,0.0,0,2,21,9,3,0,0,1,0,0,0,0,0,2018,1,31,60027.5,-0.0713838996211873,-1.07608313734125,-0.18103358846609385,0,full
18870,614,43,0b1000011111,분석 보고서 생성됨,0,0,4,9,0.0,0,4,10,8,1,0,0,1,0,0,0,0,0,2018,3,11,54481.9,4.168920616349484,0.10388882941568411,-0.754840780182521,0,full
13520,156,37,0x215,센서 값 정상 범위,0,2,1,7,0.0,0,5,7,5,2,1,0,0,0,0,0,0,0,2018,2,27,56518.2,1.120420361437839,2.1547055858634634,5.870978995962202,0,full
5540,339,7,0b1101101110,센서 값 정상 범위,0,0,1,7,0.0,0,2,8,7,0,0,0,0,1,0,0,0,0,2018,1,15,40362.6,-1.394396343153594,-0.7799377600963107,1.9998776840575792,0,full
199980,324,42,0x14a,시스템 업데이트 필요,0,18,5,25,0.0,0,3,8,6,2,0,0,0,1,0,0,0,0,2018,1,13,55681.9,-4.865568363874361,-0.7190848884808219,-4.460659300900006,0,full
69120,562,37,0x151,네트워크 연결 불안정,0,2,11,15,0.0,0,8,12,10,2,0,0,0,0,0,0,1,0,2018,2,23,60718.2,2.1375681640531106,-1.3762790786139503,-3.425945318562373,0,full
53100,676,37,0b1011010010,알 수 없는 오류 발생,0,2,10,15,0.0,0,2,21,13,0,0,0,0,0,0,0,0,1,2018,1,23,42793.3,-2.421383935306133,4.056024895164383,-0.17266212115046198,0,full
