date,heat_demand_hour_mean,heat_demand_hour_max,heat_demand_hour_min,heat_demand_hour_total,reg_dt
2019-12-13T01:00:00.000,10752.817110431157,12020.03,9133.879,38656377.51200001,2020-06-28 15:17:07
2019-12-13T02:00:00.000,9908.16339766406,11387.31,8084.865,35629755.57799996,2020-06-28 15:17:07
2019-12-13T03:00:00.000,9338.988206896558,11046.24,7559.211,33583001.59200002,2020-06-28 15:17:07
2019-12-13T04:00:00.000,8958.92367732964,10095.53,7335.011,32207330.620000053,2020-06-28 15:17:07
2019-12-13T05:00:00.000,8798.52280561732,10038.19,7325.01,31639488.00899988,2020-06-28 15:17:07
2019-12-13T06:00:00.000,8964.92374130737,10076.8,7421.648,32228900.85,2020-06-28 15:17:07
2019-12-13T07:00:00.000,10158.999053948824,11635.77,8587.94,36531760.59799997,2020-06-28 15:17:07
2019-12-13T08:00:00.000,12267.364243604006,13599.5,10249.47,44113441.82000001,2020-06-28 15:17:07
2019-12-13T09:00:00.000,13240.399774687105,16300.56,11249.62,47599237.19000014,2020-06-28 15:17:07
2019-12-13T10:00:00.000,11054.912971635158,13199.53,8927.706,39753467.046000026,2020-06-28 15:17:07
2019-12-13T11:00:00.000,8964.350003058935,10969.09,7079.227,32235802.610999927,2020-06-28 15:17:07
2019-12-13T12:00:00.000,7702.497671023357,9728.578,5812.857,27698181.625,2020-06-28 15:17:07
2019-12-13T13:00:00.000,7112.003789986107,8726.122,5900.655,25567653.625000056,2020-06-28 15:17:07
2019-12-13T14:00:00.000,6993.884992769743,8461.058,5469.579,25150010.434,2020-06-28 15:17:07
2019-12-13T15:00:00.000,6771.389857023644,7995.863,5664.598,24343146.536,2020-06-28 15:17:07
2019-12-13T16:00:00.000,6974.677561457187,8977.453,5643.467,25080940.511000045,2020-06-28 15:17:07
2019-12-13T17:00:00.000,7592.724076773308,9464.269,6198.42,27295843.056000043,2020-06-28 15:17:07
2019-12-13T18:00:00.000,8885.233623748603,10086.04,7363.419,31951300.11099997,2020-06-28 15:17:07
2019-12-13T19:00:00.000,9497.40606785315,10700.2,8132.429,34152672.219999924,2020-06-28 15:17:07
2019-12-13T20:00:00.000,10534.689177746866,11756.9,9293.675,37872207.59399998,2020-06-28 15:17:07
2019-12-13T21:00:00.000,11175.36748609567,12299.58,10048.62,40186621.480000034,2020-06-28 15:17:07
2019-12-13T22:00:00.000,11569.976347705127,12691.76,9861.44,41594064.96999993,2020-06-28 15:17:07
2019-12-13T23:00:00.000,11451.738856785303,12854.98,9048.491,41180452.92899995,2020-06-28 15:17:07
2019-12-14T00:00:00.000,10794.458909621815,14703.36,7948.664,38816874.239000045,2020-06-28 15:17:07
2019-12-14T01:00:00.000,10517.260127399151,11854.63,9085.929,37809550.15799995,2020-06-28 15:17:07
2019-12-14T02:00:00.000,9238.216393214729,11144.89,7531.114,33220626.150000155,2020-06-28 15:17:07
2019-12-14T03:00:00.000,8314.809528642949,9794.321,6746.606,29900055.06500005,2020-06-28 15:17:07
2019-12-14T04:00:00.000,7734.284173248054,9065.626,5951.912,27812485.887,2020-06-28 15:17:07
2019-12-14T05:00:00.000,7684.60066314324,8854.45,6335.021,27626139.383999947,2020-06-28 15:17:07
2019-12-14T06:00:00.000,7709.4171482202355,8998.063,6447.042,27723064.064999968,2020-06-28 15:17:07
