iter	Passed	Remaining
0	34	34542
1	61	30934
2	88	29353
3	112	27978
4	140	27943
5	165	27490
6	192	27253
7	218	27119
8	243	26847
9	266	26377
10	295	26582
11	325	26829
12	350	26581
13	375	26476
14	403	26491
15	425	26171
16	453	26231
17	479	26146
18	503	26007
19	532	26114
20	560	26125
21	585	26037
22	611	25988
23	638	25983
24	665	25967
25	692	25960
26	721	25997
27	748	25978
28	777	26020
29	801	25924
30	829	25930
31	857	25924
32	886	25977
33	912	25919
34	936	25820
35	961	25744
36	984	25628
37	1012	25630
38	1041	25674
39	1070	25699
40	1097	25678
41	1128	25746
42	1154	25701
43	1177	25592
44	1201	25499
45	1229	25494
46	1258	25510
47	1285	25496
48	1313	25489
49	1342	25511
50	1369	25484
51	1396	25459
52	1426	25483
53	1452	25440
54	1480	25435
55	1507	25404
56	1534	25387
57	1557	25302
58	1583	25259
59	1609	25215
60	1633	25147
61	1660	25123
62	1688	25112
63	1715	25091
64	1741	25051
65	1769	25040
66	1795	24996
67	1823	24991
68	1852	24996
69	1878	24951
70	1905	24930
71	1930	24884
72	1958	24870
73	1985	24842
74	2010	24795
75	2037	24777
76	2066	24776
77	2093	24746
78	2123	24757
79	2150	24730
80	2175	24686
81	2203	24669
82	2227	24611
83	2255	24591
84	2282	24575
85	2309	24541
86	2336	24522
87	2362	24488
88	2388	24443
89	2414	24417
90	2444	24414
91	2474	24418
92	2498	24364
93	2525	24338
94	2553	24328
95	2580	24299
96	2604	24250
97	2630	24211
98	2656	24177
99	2684	24156
100	2714	24160
101	2743	24157
102	2769	24117
103	2793	24069
104	2821	24049
105	2849	24035
106	2874	23992
107	2902	23969
108	2930	23954
109	2955	23915
110	2985	23912
111	3013	23890
112	3040	23866
113	3067	23837
114	3094	23810
115	3123	23804
116	3148	23763
117	3175	23731
118	3199	23688
119	3226	23664
120	3252	23629
121	3280	23608
122	3307	23585
123	3335	23563
124	3363	23542
125	3388	23502
126	3415	23480
127	3445	23474
128	3471	23440
129	3496	23400
130	3522	23369
131	3546	23319
132	3572	23289
133	3598	23256
134	3623	23216
135	3646	23166
136	3670	23119
137	3693	23071
138	3721	23050
139	3749	23033
140	3777	23010
141	3802	22977
142	3830	22957
143	3861	22957
144	3889	22931
145	3911	22881
146	3937	22846
147	3965	22826
148	3992	22801
149	4019	22779
150	4043	22736
151	4072	22719
152	4100	22699
153	4127	22672
154	4156	22660
155	4183	22634
156	4209	22600
157	4237	22584
158	4266	22566
159	4291	22531
160	4319	22509
161	4349	22497
162	4381	22498
163	4406	22463
164	4435	22446
165	4460	22411
166	4487	22382
167	4515	22363
168	4540	22327
169	4564	22283
170	4589	22248
171	4616	22223
172	4644	22201
173	4672	22179
174	4700	22160
175	4728	22138
176	4759	22128
177	4784	22094
178	4813	22078
179	4838	22043
